Code,Course Name,GE Field,Lecturer,Credit,Time & Venue,Quota,Apply
G0167,#mysocialmediapresence,Arts,Yvonne Choo Shuen Lann,3,Monday 10.00am-1.00pm(A1#G07)(Week 1-5) | Wednesday 3.00pm-6.00pm(A1#G07)(Week 1-5) | Friday 9.00am-12.00pm(A1#G07)(Week 1-5),38,38
G1118,A Brief Introduction to Chinese Philosophy (Group 1),Arts,Lee Jian Yan,2,Monday 3.00pm-5.00pm(A5#G07)(Week 1-5) | Tuesday 9.00am-11.00am(A4#G07)(Week 1-5) | Thursday 2.00pm-4.00pm(A2#G10)(Week 1-5),48,48
G1118,A Brief Introduction to Chinese Philosophy (Group 2),Arts,Lee Jian Yan,2,Monday 3.00pm-5.00pm(A5#G07)(Week 1-5) | Tuesday 9.00am-11.00am(A4#G07)(Week 1-5) | Thursday 5.00pm-7.00pm(A2#G10)(Week 1-5),48,48
G0147,Acting and Appreciation of Theatre,Arts,Cavendish-Jones Colin Alastair,2,Tuesday 2.00pm-4.00pm(A1#G02)(Week 1-5) | Wednesday 9.00am-11.00am(A1#G02)(Week 1-5) | Thursday 9.00am-11.00am(A1#G02)(Week 1-5),38,38
G0114,American Society and Culture,Arts,Selvamany Pahang A/P Gabriel Muthuswamy,2,Monday 10.00am-1.00pm(A1#G06)(Week 1-5) | Wednesday 10.00am-1.00pm(A5#G03)(Week 1-5),57,56
G0128,Art and Science,Arts,Wang Huiqiong,2,Wednesday 9.00am-12.00pm(A2#103)(Week 1-5) | Thursday 9.00am-12.00pm(A5#G03)(Week 1-5),57,57
G0142,Art Appreciation,Arts,Khairul Hazrin Bin Hashim,2,Monday 10.00am-12.00pm(A3#503)(Week 1-5) | Tuesday 10.00am-12.00pm(A3#507)(Week 1-5) | Wednesday 10.00am-12.00pm(A3#503)(Week 1-5),48,48
G1125,Artificial Intelligence and Society,Arts,Li Xiaowen,2,Monday 3.00pm-5.00pm(A4#G06)(Week 1-5) | Tuesday 5.00pm-7.00pm(A4#103)(Week 1-5) | Thursday 2.00pm-4.00pm(A4#105)(Week 1-5),76,76
G0132,Basic Korean Language (Group 1),Arts,Ngu Yeau Kwang,2,Monday 4.00pm-6.00pm(A2#G04)(Week 1-5) | Tuesday 4.00pm-6.00pm(A5#110)(Week 1-5) | Wednesday 4.00pm-6.00pm(A2#G04)(Week 1-5),29,29
G0132,Basic Korean Language (Group 2),Arts,Ngu Yeau Kwang,2,Monday 6.00pm-8.00pm(A2#G04)(Week 1-5) | Tuesday 6.00pm-8.00pm(A5#110)(Week 1-5) | Wednesday 6.00pm-8.00pm(A2#G04)(Week 1-5),29,29
G1130,Business Chinese (Group 1),Arts,Leong Chin Chai,2,Tuesday 3.00pm-5.00pm(A3#502)(Week 1-5) | Wednesday 10.00am-12.00pm(A2#G08)(Week 1-5) | Thursday 10.00am-12.00pm(A2#G02)(Week 1-5),29,12
G1130,Business Chinese (Group 2),Arts,Leong Chin Chai,2,Tuesday 3.00pm-5.00pm(A3#502)(Week 1-5) | Wednesday 10.00am-12.00pm(A2#G08)(Week 1-5) | Thursday 2.00pm-4.00pm(A2#G02)(Week 1-5),29,0
